#alt_asm_name	prim_asm_name	alt_scaf_name	alt_scaf_acc	parent_type	parent_name	parent_acc	region_name	ori	alt_scaf_start	alt_scaf_stop	parent_start	parent_stop	alt_start_tail	alt_stop_tail
PATCHES	Primary Assembly	HG1342_HG2282_PATCH	NW_012132914.1	CHROMOSOME	1	NC_000001.11	PRAME_REGION_1	+	1	467143	12818488	13312803	0	0
PATCHES	Primary Assembly	HSCHR1_5_CTG3	NW_015495298.1	CHROMOSOME	1	NC_000001.11	PRAME_REGION_1	+	1	278659	13004385	13312803	0	0
PATCHES	Primary Assembly	HG2095_PATCH	NW_011332688.1	CHROMOSOME	1	NC_000001.11	REGION200	+	1	305542	17157487	17460319	0	0
PATCHES	Primary Assembly	HSCHR1_4_CTG3	NW_014040926.1	CHROMOSOME	1	NC_000001.11	REGION228	+	1	349938	23237486	23579959	0	0
PATCHES	Primary Assembly	HG2058_PATCH	NW_009646195.1	CHROMOSOME	1	NC_000001.11	REGION189	b	1	166200	26512383	26678582	0	0
PATCHES	Primary Assembly	HG986_PATCH	NW_009646194.1	CHROMOSOME	1	NC_000001.11	FOXO6	+	1	186494	41250328	41436604	0	0
PATCHES	Primary Assembly	HSCHR1_3_CTG3	NW_014040925.1	CHROMOSOME	1	NC_000001.11	REGION229	+	1	141019	103909381	104045121	0	0
PATCHES	Primary Assembly	HSCHR1_6_CTG3	NW_017852928.1	CHROMOSOME	1	NC_000001.11	REGION240	b	1	551020	107987825	108539424	0	0
PATCHES	Primary Assembly	HG2104_PATCH	NW_009646196.1	CHROMOSOME	1	NC_000001.11	REGION190	+	1	122022	112909422	113029606	0	0
PATCHES	Primary Assembly	HG1832_PATCH	NW_011332687.1	CHROMOSOME	1	NC_000001.11	REGION199	+	1	460100	210220259	210677001	0	0
PATCHES	Primary Assembly	HSCHR1_5_CTG32_1	NW_014040927.1	CHROMOSOME	1	NC_000001.11	TBCE	+	1	212205	235360200	235568613	0	0
PATCHES	Primary Assembly	HG2290_PATCH	NW_012132915.1	CHROMOSOME	2	NC_000002.12	IGK	+	1	439505	88891175	89330679	0	41740
PATCHES	Primary Assembly	HSCHR2_6_CTG7_2	NW_015495299.1	CHROMOSOME	2	NC_000002.12	REGION233	+	1	535088	205890983	206421450	0	0
PATCHES	Primary Assembly	HG2232_PATCH	NW_011332690.1	CHROMOSOME	2	NC_000002.12	REGION201	+	1	365499	233054663	233420161	0	0
PATCHES	Primary Assembly	HG2233_PATCH	NW_011332689.1	CHROMOSOME	2	NC_000002.12	REGION202	+	1	208149	239696904	239905046	0	0
PATCHES	Primary Assembly	HG2236_PATCH	NW_017363813.1	CHROMOSOME	3	NC_000003.12	REGION235	+	1	411654	16687511	17099186	0	0
PATCHES	Primary Assembly	HG2066_PATCH	NW_009646197.1	CHROMOSOME	3	NC_000003.12	REGION192	b	1	451168	44474647	44925818	0	0
PATCHES	Primary Assembly	HG2235_PATCH	NW_012132916.1	CHROMOSOME	3	NC_000003.12	SLC25A26	+	1	373699	66023201	66396803	0	0
PATCHES	Primary Assembly	HG126_PATCH	NW_011332691.1	CHROMOSOME	3	NC_000003.12	RYBP	+	1	415308	72325441	72740399	0	0
PATCHES	Primary Assembly	HG2237_PATCH	NW_012132917.1	CHROMOSOME	3	NC_000003.12	REGION210	+	1	165718	90528825	90699772	0	0
PATCHES	Primary Assembly	HG2022_PATCH	NW_009646198.1	CHROMOSOME	3	NC_000003.12	REGION191	+	1	305979	91247723	91553319	0	0
PATCHES	Primary Assembly	HSCHR4_2_CTG4	NW_013171799.1	CHROMOSOME	4	NC_000004.12	REGION222	+	1	90922	14931450	15019028	0	0
PATCHES	Primary Assembly	HSCHR4_8_CTG12	NW_013171800.1	CHROMOSOME	4	NC_000004.12	REGION223	+	1	163749	65880454	66040277	0	0
PATCHES	Primary Assembly	HSCHR4_9_CTG12	NW_013171801.1	CHROMOSOME	4	NC_000004.12	REGION224	+	1	236512	69959865	70191926	0	0
PATCHES	Primary Assembly	HSCHR4_12_CTG12	NW_017363814.1	CHROMOSOME	4	NC_000004.12	REGION236	+	1	420675	154079465	154493046	0	0
PATCHES	Primary Assembly	HG2023_PATCH	NW_015495300.1	CHROMOSOME	4	NC_000004.12	REGION134	+	1	230434	189907071	190204555	0	0
PATCHES	Primary Assembly	HSCHR4_11_CTG12	NW_015495301.1	CHROMOSOME	4	NC_000004.12	REGION134	+	1	185950	189907071	190093263	0	19457
PATCHES	Primary Assembly	HSCHR5_7_CTG1	NW_009646199.1	CHROMOSOME	5	NC_000005.10	REGION193	+	1	139087	21098347	21230960	0	0
PATCHES	Primary Assembly	HSCHR5_8_CTG1	NW_016107297.1	CHROMOSOME	5	NC_000005.10	GUSBP1	+	130579	362221	21481419	21713081	130578	0
